ROOM_NO	ROOM_TYPE	ROOM_CATEGORY	LOCATION_CODE	SMOKING	MAID_STATION	LOCKING_FLAG	WHO_LOCKED	ROOM_STATUS	ROOM_ACTUALPIC	ROOM_PICXPOS	ROOM_PICYPOS	ROOM_PICHEIGHT	ROOM_PICWIDTH	REMARKS	AUDIT_USER	AUDIT_DATE
1201	STS	ST	12FL	1				VD							carlo	6/2/97 21:36:01:64
1202	JS	JS	12FL	1				VD							carlo	6/2/97 22:48:47:01
1203	SP	SP	12FL	1				VD							carlo	6/2/97 23:21:51:3
1204	DXD	DX	12FL	1				VD							carlo	6/2/97 22:24:31:48
1205	STD	ST	12FL	1				VD							carlo	6/2/97 21:14:35:23
1206	DXS	DX	12FL	1				VD							carlo	6/2/97 22:09:35:92
1207	DXD	DX	12FL	1				VD							carlo	6/2/97 22:24:58:78
1208	SP	SP	12FL	1				VD							carlo	6/2/97 23:22:45:57
1209	DXS	DX	12FL	1				VD							carlo	6/2/97 22:09:07:31
1210	SP	SP	12FL	1				VD							carlo	6/2/97 23:22:33:32
1211	SP	SP	12FL	1				VD							carlo	6/2/97 23:22:08:16
1212	DXD	DX	12FL	1				VD							carlo	6/2/97 22:25:16:69
1213	STS	ST	12FL	1				VD							carlo	6/2/97 21:36:22:13
1214	DXS	DX	12FL	1				VD							carlo	6/2/97 22:09:20:87
1215	STD	ST	12FL	1				VD							carlo	6/2/97 21:15:03:57
1216	STD	ST	12FL	1				VD							carlo	6/2/97 21:15:18:51
1217	SP	SP	12FL	1				VD							carlo	6/2/97 23:22:20:52
1218	STS	ST	12FL	1				VD							carlo	6/2/97 21:36:45:47
1219	STS	ST	12FL	1				VD							carlo	6/2/97 21:37:03:71
1220	JS	JS	12FL	1				VD							carlo	6/2/97 22:49:02:77
1301	STS	ST	13FL	1				VD							carlo	6/2/97 21:37:22:99
1302	JS	JS	13FL	1				VD							carlo	6/2/97 22:49:17:44
1303	SP	SP	13FL	1				VD							carlo	6/2/97 23:22:59:63
1304	DXD	DX	13FL	1				VD							carlo	6/2/97 22:25:36:9
1305	STD	ST	13FL	1				VD							carlo	6/2/97 21:15:32:79
1306	DXS	DX	13FL	1				VD							carlo	6/2/97 22:10:17:78
1307	DXD	DX	13FL	1				VD							carlo	6/2/97 22:25:54:15
1308	SP	SP	13FL	1				VD							carlo	6/2/97 23:24:18:34
1309	DXS	DX	13FL	1				VD							carlo	6/2/97 22:09:48:83
1310	SP	SP	13FL	1				VD							carlo	6/2/97 23:23:58:29
1311	SP	SP	13FL	1				VD							carlo	6/2/97 23:23:19:18
1312	DXD	DX	13FL	1				VD							carlo	6/2/97 22:26:16:39
1313	STS	ST	13FL	1				VD							carlo	6/2/97 21:37:44:24
1314	DXS	DX	13FL	1				VD							carlo	6/2/97 22:10:02:23
1315	STD	ST	13FL	1				VD							carlo	6/2/97 21:16:03:44
1316	STD	ST	13FL	1				VD							carlo	6/2/97 21:16:19:37
1317	SP	SP	13FL	1				VD							carlo	6/2/97 23:23:46:15
1318	STS	ST	13FL	1				VD							carlo	6/2/97 21:38:07:31
1319	STS	ST	13FL	1				VD							carlo	6/2/97 21:38:28:35
1320	JS	JS	13FL	1				VD							carlo	6/2/97 22:49:33:15
1401	STS	ST	14FL	1				VD							carlo	6/2/97 21:38:46:86
1402	JS	JS	14FL	1				VD							carlo	6/2/97 22:49:45:18
1403	SP	SP	14FL	0				VD							carlo	6/2/97 23:24:39:21
1404	DXD	DX	14FL	1				VD							carlo	6/2/97 22:26:44:62
1405	STD	ST	14FL	1				VD							carlo	6/2/97 21:16:32:66
1406	DXS	DX	14FL	1				VD							carlo	6/2/97 22:11:02:49
1407	DXD	DX	14FL	1				VD							carlo	6/2/97 22:27:10:22
1408	SP	SP	14FL	1				VD							carlo	6/2/97 23:38:16:17
1409	DXS	DX	14FL	1				VD							carlo	6/2/97 22:10:31:67
1410	SP	SP	14FL	1				VD							carlo	6/2/97 23:38:02:6
1411	SP	SP	14FL	1				VD							carlo	6/2/97 23:26:19:39
1412	DXD	DX	14FL	1				VD							carlo	6/2/97 22:27:29:72
1413	STS	ST	14FL	1				VD							carlo	6/2/97 21:39:09:38
1414	DXS	DX	14FL	1				VD							carlo	6/2/97 22:10:48:86
1415	STD	ST	14FL	1				VD							carlo	6/2/97 21:17:04:35
1416	STD	ST	14FL	1				VD							carlo	6/2/97 21:17:21:33
1417	SP	SP	14FL	1				VD							carlo	6/2/97 23:37:04:33
1418	STS	ST	14FL	1				VD							carlo	6/2/97 21:39:32:88
1419	STS	ST	14FL	1				VD							carlo	6/2/97 21:39:52:82
1420	JS	JS	14FL	1				VD							carlo	6/2/97 22:49:57:48
1501	STS	ST	15FL	1				VD							carlo	6/2/97 21:40:12:38
1502	JS	JS	15FL	1				VD							carlo	6/2/97 22:50:10:28
1503	SP	SP	15FL	1				VD							carlo	6/2/97 23:38:30:23
1504	DXD	DX	15FL	1				VD							carlo	6/2/97 22:27:49:38
1505	STD	ST	15FL	1				VD							carlo	6/2/97 21:17:35:55
1506	DXS	DX	15FL	1				VD							carlo	6/2/97 22:11:49:61
1507	DXD	DX	15FL	1				VD							carlo	6/2/97 22:28:07:4
1508	SP	SP	15FL	1				VD							carlo	6/2/97 23:39:19:01
1509	DXS	DX	15FL	1				VD							carlo	6/2/97 22:11:18:03
1510	SP	SP	15FL	1				VD							carlo	6/2/97 23:39:05:88
1511	SP	SP	15FL	1				VD							carlo	6/2/97 23:38:43:74
1512	DXD	DX	15FL	1				VD							carlo	6/2/97 22:28:26:13
1513	STS	ST	15FL	1				VD							carlo	6/2/97 21:40:32:48
1514	DXS	DX	15FL	1				VD							carlo	6/2/97 22:11:32:53
1515	STD	ST	15FL	1				VD							carlo	6/2/97 21:18:06:69
1516	STD	ST	15FL	1				VD							carlo	6/2/97 21:18:21:96
1517	SP	SP	15FL	1				VD							carlo	6/2/97 23:38:54:62
1518	STS	ST	15FL	1				VD							carlo	6/2/97 21:40:56:37
1519	STS	ST	15FL	1				VD							carlo	6/2/97 21:41:14:99
1520	JS	JS	15FL	1				VD							carlo	6/2/97 22:50:22:52
1601	STS	ST	16FL	1				VD							carlo	6/2/97 21:41:32:9
1602	JS	JS	16FL	1				VD							carlo	6/2/97 22:50:35:05
1603	SP	SP	16FL	1				VD							carlo	6/2/97 23:39:34:11
1604	DXD	DX	16FL	1				VD							carlo	6/2/97 22:28:50:07
1605	STD	ST	16FL	1				VD							carlo	6/2/97 21:18:38:28
1606	DXS	DX	16FL	1				VD							carlo	6/2/97 22:12:36:96
1607	DXD	DX	16FL	1				VD							carlo	6/2/97 22:29:11:82
1608	SP	SP	16FL	1				VD							carlo	6/2/97 23:40:28:82
1609	DXS	DX	16FL	1				VD							carlo	6/2/97 22:12:07:52
1610	SP	SP	16FL	1				VD							carlo	6/2/97 23:40:15:8
1611	SP	SP	16FL	1				VD							carlo	6/2/97 23:39:50:48
1612	DXD	DX	16FL	1				VD							carlo	6/2/97 22:29:33:74
1613	STS	ST	16FL	1				VD							carlo	6/2/97 21:41:55:14
1614	DXS	DX	16FL	1				VD							carlo	6/2/97 22:12:23:67
1615	STD	ST	16FL	1				VD							carlo	6/2/97 21:19:18:65
1616	STD	ST	16FL	1				VD							carlo	6/2/97 21:19:32:43
1617	SP	SP	16FL	1				VD							carlo	6/2/97 23:40:02:07
1618	STS	ST	16FL	1				VD							carlo	6/2/97 21:42:16:12
1619	STS	ST	16FL	1				VD							carlo	6/2/97 21:42:35:13
1620	JS	JS	16FL	1				VD							carlo	6/2/97 22:50:49:66
1701	STS	ST	17FL	1				VD							carlo	6/2/97 21:42:53:31
1702	JS	JS	17FL	1				VD							carlo	6/2/97 22:51:05:15
1703	SP	SP	17FL	1				VD							carlo	6/2/97 23:40:40:57
1704	DXD	DX	17FL	1				VD							carlo	6/2/97 22:29:56:04
1705	STD	ST	17FL	1				VD							carlo	6/2/97 21:19:45:61
1706	DXS	DX	17FL	1				VD							carlo	6/2/97 22:13:20:68
1707	DXD	DX	17FL	1				VD							carlo	6/2/97 22:30:16:09
1708	SP	SP	17FL	1				VD							carlo	6/2/97 23:41:36:76
1709	DXS	DX	17FL	1				VD							carlo	6/2/97 22:12:54:04
1710	SP	SP	17FL	1				VD							carlo	6/2/97 23:41:18:8
1711	SP	SP	17FL	1				VD							carlo	6/2/97 23:41:06:28
1712	DXD	DX	17FL	1				VD							carlo	6/2/97 22:30:36:79
1713	STS	ST	17FL	1				VD							carlo	6/2/97 21:43:12:75
1714	DXS	DX	17FL	1				VD							carlo	6/2/97 22:13:05:9
1715	STD	ST	17FL	1				VD							carlo	6/2/97 21:20:20:27
1716	STD	ST	17FL	1				VD							carlo	6/2/97 21:20:41:86
1718	STS	ST	17FL	1				VD							carlo	6/2/97 21:43:35:05
1719	STS	ST	17FL	1				VD							carlo	6/2/97 21:43:59:33
1720	JS	JS	17FL	1				VD							carlo	6/2/97 22:51:19:59
1801	STS	ST	18FL	1				VD							carlo	6/2/97 21:44:21:85
1802	JS	JS	18FL	1				VD							carlo	6/2/97 22:51:34:09
1803	SP	SP	18FL	1				VD							carlo	6/2/97 23:41:53:9
1804	DXD	DX	18FL	1				VD							carlo	6/2/97 22:30:54:26
1805	STD	ST	18FL	1				VD							carlo	6/2/97 21:20:58:94
1806	DXS	DX	18FL	1				VD							carlo	6/2/97 22:14:04:34
1807	DXD	DX	18FL	1				VD							carlo	6/2/97 22:31:14:36
1808	SP	SP	18FL	1				VD							carlo	6/2/97 23:43:01:29
1809	DXS	DX	18FL	1				VD							carlo	6/2/97 22:13:35:29
1810	SP	SP	18FL	1				VD							carlo	6/2/97 23:42:35:97
1811	SP	SP	18FL	1				VD							carlo	6/2/97 23:41:55:6
1812	DXD	DX	18FL	1				VD							carlo	6/2/97 22:31:35:51
1813	STS	ST	18FL	1				VD							carlo	6/2/97 21:44:42:06
1814	DXS	DX	18FL	1				VD							carlo	6/2/97 22:13:49:35
1815	STD	ST	18FL	1				VD							carlo	6/2/97 21:21:27:78
1816	STD	ST	18FL	1				VD							carlo	6/2/97 21:21:44:69
1817	SP	SP	18FL	1				VD							carlo	6/2/97 23:42:34:32
1818	STS	ST	18FL	1				VD							carlo	6/2/97 21:45:00:57
1819	STS	ST	18FL	1				VD							carlo	6/2/97 21:45:26
1820	JS	JS	18FL	1				VD							carlo	6/2/97 22:51:47:93
1901	STS	ST	19FL	1				VD							carlo	6/2/97 21:45:45:61
1902	JS	JS	19FL	1				VD							carlo	6/2/97 22:52:03:86
1903	SP	SP	19FL	1				VD							carlo	6/2/97 23:43:17:11
1904	DXD	DX	19FL	1				VD							carlo	6/2/97 22:31:59:24
1905	STD	ST	19FL	1				VD							carlo	6/2/97 21:21:59:63
1906	DXS	DX	19FL	1				VD							carlo	6/2/97 22:14:54:33
1907	DXD	DX	19FL	1				VD							carlo	6/2/97 22:32:20:82
1908	SP	SP	19FL	1				VD							carlo	6/2/97 23:43:20:62
1909	DXS	DX	19FL	1				VD							carlo	6/2/97 22:14:22:2
1910	SP	SP	19FL	1				VD							carlo	6/2/97 23:43:19:47
1911	SP	SP	19FL	1				VD							carlo	6/2/97 23:43:17:77
1912	DXD	DX	19FL	1				VD							carlo	6/2/97 22:32:38:29
1913	STS	ST	19FL	1				VD							carlo	6/2/97 21:51:22:63
1914	DXS	DX	19FL	1				VD							carlo	6/2/97 22:14:38:95
1915	STD	ST	19FL	1				VD							carlo	6/2/97 21:22:28:96
1916	STD	ST	19FL	1				VD							carlo	6/2/97 21:22:43:85
1917	SP	SP	19FL	1				VD							carlo	6/2/97 23:43:18:32
1918	STS	ST	19FL	1				VD							carlo	6/2/97 21:51:49:49
1919	STS	ST	19FL	1				VD							carlo	6/2/97 21:52:12:17
1920	JS	JS	19FL	1				VD							carlo	6/2/97 22:52:21
2001	STS	ST	20FL	1				VD							carlo	6/2/97 21:52:37:28
2002	JS	JS	20FL	1				VD							carlo	6/2/97 22:52:34:13
2003	SP	SP	20FL	1				VD							carlo	6/2/97 23:44:22:36
2004	DXD	DX	20FL	1				VD							carlo	6/2/97 22:32:59:98
2005	STD	ST	20FL	1				VD							carlo	6/2/97 21:23:06:59
2006	DXS	DX	20FL	1				VD							carlo	6/2/97 22:15:42:39
2007	DXD	DX	20FL	1				VD							carlo	6/2/97 22:33:22:56
2008	SP	SP	20FL	1				VD							carlo	6/2/97 23:44:26:86
2009	DXS	DX	20FL	1				VD							carlo	6/2/97 22:15:10:58
2010	SP	SP	20FL	1				VD							carlo	6/2/97 23:44:24:83
2011	SP	SP	20FL	1				VD							carlo	6/2/97 23:44:23:46
2012	DXD	DX	20FL	1				VD							carlo	6/2/97 22:33:40:79
2013	STS	ST	20FL	1				VD							carlo	6/2/97 21:52:59:08
2014	DXS	DX	20FL	1				VD							carlo	6/2/97 22:15:30:41
2015	STD	ST	20FL	1				VD							carlo	6/2/97 21:23:46:3
2016	STD	ST	20FL	1				VD							carlo	6/2/97 21:24:00:63
2017	SP	SP	20FL	1				VD							carlo	6/2/97 23:44:24:23
2018	STS	ST	20FL	1				VD							carlo	6/2/97 21:53:21:66
2019	STS	ST	20FL	1				VD							carlo	6/2/97 21:53:43:02
2020	JS	JS	20FL	1				VD							carlo	6/2/97 22:53:33:99
2101	DXS	DX	21FL	1				VD							carlo	6/2/97 23:51:55:6
2103	DXD	DX	21FL	1				VD							carlo	6/2/97 23:49:56:25
2105	DXS	DX	21FL	1				VD							carlo	6/2/97 23:52:10:65
2110	DXS	DX	21FL	1				VD							carlo	6/2/97 23:59:24:57
2112	DXS	DX	21FL	1				VD							carlo	6/2/97 23:52:41:19
2117	DXD	DX	21FL	1				VD							carlo	6/2/97 23:51:00:79
2119	DXS	DX	21FL	1				VD							carlo	6/2/97 23:52:12:41
501	STS	ST	05FL	1				VD							carlo	6/2/97 21:26:19:54
502	JS	JS	05FL	1				VD							carlo	6/2/97 22:43:45:19
503	SP	SP	05FL	1				VD							carlo	6/2/97 23:08:10:22
504	DXD	DX	05FL	1				VD							carlo	6/2/97 22:16:16:82
505	STD	ST	05FL	1				VD							carlo	6/2/97 20:54:26:49
506	DXS	DX	05FL	1				VD							carlo	6/2/97 22:03:36:55
507	DXD	DX	05FL	1				VD							carlo	6/2/97 22:17:20:04
508	SP	SP	05FL	1				VD							carlo	6/2/97 23:09:21:57
509	DXS	DX	05FL	1				VD							carlo	6/2/97 22:02:39:37
510	SP	SP	05FL	1				VD							carlo	6/2/97 23:09:06:68
511	SP	SP	05FL	1				VD							carlo	6/2/97 23:08:36:48
512	DXD	DX	05FL	1				VD							carlo	6/2/97 22:17:01:97
513	STS	ST	05FL	1				VD							carlo	6/2/97 21:27:14:8
514	DXS	DX	05FL	1				VD							carlo	6/2/97 22:03:19:02
515	STD	ST	05FL	1				VD							carlo	6/2/97 20:59:55:27
516	STD	ST	05FL	1				VD							carlo	6/2/97 21:00:36:24
517	SP	SP	05FL	1				VD							carlo	6/2/97 23:08:50:92
518	STS	ST	05FL	1				VD							carlo	6/2/97 21:27:55:66
519	STS	ST	05FL	1				VD							carlo	6/2/97 21:27:36:6
520	JS	JS	05FL	1				VD							carlo	6/2/97 22:45:22:3
601	STS	ST	06FL	1				VD							carlo	6/2/97 21:28:22:35
602	JS	JS	06FL	1				VD							carlo	6/2/97 22:45:44:38
603	SP	SP	06FL	1				VD							carlo	6/2/97 23:09:36:62
604	DXD	DX	06FL	1				VD							carlo	6/2/97 22:17:41:35
605	STD	ST	06FL	1				VD							carlo	6/2/97 21:06:59:46
606	DXS	DX	06FL	1				VD							carlo	6/2/97 22:04:33:28
607	DXD	DX	06FL	1				VD							carlo	6/2/97 22:17:58:44
608	SP	SP	06FL	1				VD							carlo	6/2/97 23:10:44:4
609	DXS	DX	06FL	1				VD							carlo	6/2/97 22:03:59:83
610	SP	SP	06FL	1				VD							carlo	6/2/97 23:10:29:24
611	SP	SP	06FL	1				VD							carlo	6/2/97 23:09:56:61
612	DXD	DX	06FL	1				VD							carlo	6/2/97 22:18:24:2
613	STS	ST	06FL	1				VD							carlo	6/2/97 21:28:42:4
614	DXS	DX	06FL	1				VD							carlo	6/2/97 22:04:19:11
615	STD	ST	06FL	1				VD							carlo	6/2/97 21:07:42:08
616	STD	ST	06FL	1				VD							carlo	6/2/97 21:08:07:29
617	SP	SP	06FL	1				VD							carlo	6/2/97 23:10:11:61
618	STS	ST	06FL	1				VD							carlo	6/2/97 21:29:00:8
619	STS	ST	06FL	1				VD							carlo	6/2/97 21:29:19:7
620	JS	JS	06FL	1				VD							carlo	6/2/97 22:46:02:01
701	STS	ST	07FL	1				VD							carlo	6/2/97 21:29:39:3
702	JS	JS	07FL	1				VD							carlo	6/2/97 22:46:16:29
703	SP	SP	07FL	1				VD							carlo	6/2/97 23:11:00:82
704	DXD	DX	07FL	1				VD							carlo	6/2/97 22:18:41:66
705	STD	ST	07FL	1				VD							carlo	6/2/97 21:08:27:67
706	DXS	DX	07FL	1				VD							carlo	6/2/97 22:05:26:51
707	DXD	DX	07FL	1				VD							carlo	6/2/97 22:19:02:59
708	SP	SP	07FL	1				VD							carlo	6/2/97 23:12:03:49
709	DXS	DX	07FL	1				VD							carlo	6/2/97 22:04:51:02
710	SP	SP	07FL	1				VD							carlo	6/2/97 23:11:48:71
711	SP	SP	07FL	1				VD							carlo	6/2/97 23:11:17:57
712	DXD	DX	07FL	1				VD							carlo	6/2/97 22:19:25:71
713	STS	ST	07FL	1				VD							carlo	6/2/97 21:30:03:25
714	DXS	DX	07FL	1				VD							carlo	6/2/97 22:05:07:94
715	STD	ST	07FL	1				VD							carlo	6/2/97 21:09:07:87
716	STD	ST	07FL	1				VD							carlo	6/2/97 21:09:24:74
717	SP	SP	07FL	1				VD							carlo	6/2/97 23:11:31:52
718	STS	ST	07FL	1				VD							carlo	6/2/97 21:30:22:75
719	STS	ST	07FL	1				VD							carlo	6/2/97 21:30:46:15
720	JS	JS	07FL	1				VD							carlo	6/2/97 22:46:31:07
801	STS	ST	08FL	1				VD							carlo	6/2/97 21:31:06:69
802	JS	JS	08FL	1				VD							carlo	6/2/97 22:46:46:5
803	SP	SP	08FL	1				VD							carlo	6/2/97 23:12:17:72
804	DXD	DX	08FL	1				VD							carlo	6/2/97 22:19:45:71
805	STD	ST	08FL	1				VD							carlo	6/2/97 21:09:40:01
806	DXS	DX	08FL	1				VD							carlo	6/2/97 22:06:20:28
807	DXD	DX	08FL	1				VD							carlo	6/2/97 22:20:05:37
808	SP	SP	08FL	1				VD							carlo	6/2/97 23:16:10:6
809	DXS	DX	08FL	1				VD							carlo	6/2/97 22:05:44:69
810	SP	SP	08FL	1				VD							carlo	6/2/97 23:15:48:9
811	SP	SP	08FL	1				VD							carlo	6/2/97 23:12:36:5
812	DXD	DX	08FL	1				VD							carlo	6/2/97 22:20:27:56
813	STS	ST	08FL	1				VD							carlo	6/2/97 21:31:25:09
814	DXS	DX	08FL	1				VD							carlo	6/2/97 22:06:05:06
815	STD	ST	08FL	1				VD							carlo	6/2/97 21:10:14:12
816	STD	ST	08FL	1				VD							carlo	6/2/97 21:10:34
817	SP	SP	08FL	1				VD							carlo	6/2/97 23:12:53:58
820	JS	JS	08FL	1				VD							carlo	6/2/97 22:47:02:21
901	STS	ST	09FL	1				VD							carlo	6/2/97 21:31:44:26
902	JS	JS	09FL	1				VD							carlo	6/2/97 22:47:16:6
903	SP	SP	09FL	1				VD							carlo	6/2/97 23:16:26:03
904	DXD	DX	09FL	1				VD							carlo	6/2/97 22:20:46:34
905	STD	ST	09FL	1				VD							carlo	6/2/97 21:10:53:22
906	DXS	DX	09FL	1				VD							carlo	6/2/97 22:07:18:5
907	DXD	DX	09FL	1				VD							carlo	6/2/97 22:21:06:01
908	SP	SP	09FL	1				VD							carlo	6/2/97 23:19:11:69
909	DXS	DX	09FL	1				VD							carlo	6/2/97 22:06:35:33
910	SP	SP	09FL	1				VD							carlo	6/2/97 23:18:58:18
911	SP	SP	09FL	1				VD							carlo	6/2/97 23:16:43:17
912	DXD	DX	09FL	1				VD							carlo	6/2/97 22:21:23:09
913	STS	ST	09FL	1				VD							carlo	6/2/97 21:32:05:9
914	DXS	DX	09FL	1				VD							carlo	6/2/97 22:07:02:9
915	STD	ST	09FL	1				VD							carlo	6/2/97 21:11:26:18
916	STD	ST	09FL	1				VD							carlo	6/2/97 21:11:44:47
917	SP	SP	09FL	1				VD							carlo	6/2/97 23:16:56:85
918	STS	ST	09FL	1				VD							carlo	6/2/97 21:32:26:17
919	STS	ST	09FL	1				VD							carlo	6/2/97 21:32:44:4
920	JS	JS	09FL	1				VD							carlo	6/2/97 22:47:30:33
PS1	PS	PS	21FL	1				VD							carlo	6/2/97 23:56:08:87
PS2	PS	PS	21FL	1				VD							carlo	6/2/97 23:56:35:34
